n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13041*004;GARDANNE - Parking De La Cité Administrative; Parking De La Cité Administrative 0 GARDANNE;13041;5,47019;43,451656;0;FR*M13*E13041*004*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13002*001;ALLAUCH - Chemin Marius Milon / Chemin Des Mille Ecus;Chemin Marius Milon / Chemin Des Mille Ecus 13190 ALLAUCH;13002;5,468472;43,334722;2;FR*M13*E13002*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13002*001;ALLAUCH - Chemin Marius Milon / Chemin Des Mille Ecus;Chemin Marius Milon / Chemin Des Mille Ecus 13190 ALLAUCH;13002;5,468472;43,334722;2;FR*M13*E13002*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13202*004;MARSEILLE-2E - 38 Rue De L'Evêché;38 Rue De L'Evêché 0 MARSEILLE-2E;13202;5,366179;43,298904;0;FR*M13*E13202*004*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13202*004;MARSEILLE-2E - 38 Rue De L'Evêché;38 Rue De L'Evêché 0 MARSEILLE-2E;13202;5,366179;43,298904;0;FR*M13*E13202*004*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13078*001;PORT-SAINT-LOUIS-DU-RHONE - Avenue Hippolyte Peut;Avenue Hippolyte Peut 13230 PORT-SAINT-LOUIS-DU-RHONE;13078;4,80192;43,389722;2;FR*M13*E13078*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13078*001;PORT-SAINT-LOUIS-DU-RHONE - Avenue Hippolyte Peut;Avenue Hippolyte Peut 13230 PORT-SAINT-LOUIS-DU-RHONE;13078;4,80192;43,389722;2;FR*M13*E13078*001*2;22;T3 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13208*002;MARSEILLE-8E - Rue Paradis;Rue Paradis 13008 MARSEILLE-8E;13208;5,382534;43,279733;0;FR*M13*E13208*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13208*002;MARSEILLE-8E - Rue Paradis;Rue Paradis 13008 MARSEILLE-8E;13208;5,382534;43,279733;0;FR*M13*E13208*002*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13110*001;TRETS - Place De La Libération;Place De La Libération 0 TRETS;13110;5,688023;43,448682;2;FR*M13*E13110*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
